N0,4.5598,2.5509,N29,4.3347,1.5439,17
N0,4.5598,2.5509,N38,3.9902,2.5379,20
N0,4.5598,2.5509,N45,3.2269,2.5513,10
N1,1.5124,0.6151,N3,1.611,0.3867,5
N1,1.5124,0.6151,N9,2.6481,0.4173,12
N1,1.5124,0.6151,N10,0.6113,0.1987,19
N2,5.8234,6.0757,N6,6.5711,6.0547,12
N2,5.8234,6.0757,N12,5.6452,4.9637,13
N2,5.8234,6.0757,N28,6.8156,4.1197,16
N2,5.8234,6.0757,N35,5.4986,6.8817,4
N2,5.8234,6.0757,N41,4.98,6.869,9
N3,1.611,0.3867,N9,2.6481,0.4173,13
N3,1.611,0.3867,N10,0.6113,0.1987,8
N4,0.0874,2.4314,N11,0.7166,2.8291,19
N4,0.0874,2.4314,N21,0.9171,3.1982,6
N4,0.0874,2.4314,N31,0.6343,2.9964,2
N5,3.0109,1.6944,N15,2.2463,2.1289,13
N5,3.0109,1.6944,N18,2.2824,1.8012,15
N5,3.0109,1.6944,N19,3.4116,1.4264,15
N5,3.0109,1.6944,N37,4.1065,1.1954,6
N5,3.0109,1.6944,N45,3.2269,2.5513,16
N6,6.5711,6.0547,N12,5.6452,4.9637,8
N6,6.5711,6.0547,N28,6.8156,4.1197,2
N6,6.5711,6.0547,N35,5.4986,6.8817,8
N7,6.2759,0.4381,N8,6.919,0.5264,2
N7,6.2759,0.4381,N20,5.4218,0.0754,13
N7,6.2759,0.4381,N22,5.2051,0.2096,16
N7,6.2759,0.4381,N40,6.8092,0.2615,6
N7,6.2759,0.4381,N43,6.4545,1.0215,10
N8,6.919,0.5264,N34,6.9655,0.5954,13
N8,6.919,0.5264,N40,6.8092,0.2615,2
N8,6.919,0.5264,N43,6.4545,1.0215,10
N9,2.6481,0.4173,N10,0.6113,0.1987,11
N9,2.6481,0.4173,N19,3.4116,1.4264,7
N11,0.7166,2.8291,N21,0.9171,3.1982,10
N11,0.7166,2.8291,N24,0.1594,3.7425,6
N11,0.7166,2.8291,N30,1.7596,2.482,19
N11,0.7166,2.8291,N31,0.6343,2.9964,9
N12,5.6452,4.9637,N28,6.8156,4.1197,7
N13,1.7486,2.1927,N15,2.2463,2.1289,2
N13,1.7486,2.1927,N18,2.2824,1.8012,6
N13,1.7486,2.1927,N30,1.7596,2.482,2
N14,0.6143,6.3913,N17,0.3809,6.8162,5
N14,0.6143,6.3913,N32,0.1931,5.2535,14
N14,0.6143,6.3913,N33,0.9347,6.4282,5
N14,0.6143,6.3913,N46,0.9766,6.1736,9
N15,2.2463,2.1289,N18,2.2824,1.8012,20
N15,2.2463,2.1289,N30,1.7596,2.482,3
N16,2.3217,2.9733,N27,2.2252,4.6342,11
N16,2.3217,2.9733,N30,1.7596,2.482,17
N16,2.3217,2.9733,N39,2.8941,3.1148,19
N16,2.3217,2.9733,N47,1.9476,3.7295,5
N17,0.3809,6.8162,N33,0.9347,6.4282,11
N17,0.3809,6.8162,N46,0.9766,6.1736,16
N19,3.4116,1.4264,N29,4.3347,1.5439,13
N19,3.4116,1.4264,N37,4.1065,1.1954,15
N20,5.4218,0.0754,N22,5.2051,0.2096,9
N20,5.4218,0.0754,N26,5.4416,1.2921,20
N21,0.9171,3.1982,N24,0.1594,3.7425,18
N21,0.9171,3.1982,N31,0.6343,2.9964,5
N22,5.2051,0.2096,N26,5.4416,1.2921,20
N23,4.631,6.3472,N35,5.4986,6.8817,2
N23,4.631,6.3472,N41,4.98,6.869,10
N23,4.631,6.3472,N49,3.5795,6.4978,20
N24,0.1594,3.7425,N31,0.6343,2.9964,12
N24,0.1594,3.7425,N32,0.1931,5.2535,14
N25,3.1285,6.8838,N36,2.7767,6.7416,4
N25,3.1285,6.8838,N44,1.9923,6.355,11
N25,3.1285,6.8838,N49,3.5795,6.4978,17
N26,5.4416,1.2921,N29,4.3347,1.5439,5
N26,5.4416,1.2921,N43,6.4545,1.0215,12
N27,2.2252,4.6342,N39,2.8941,3.1148,15
N27,2.2252,4.6342,N47,1.9476,3.7295,2
N29,4.3347,1.5439,N37,4.1065,1.1954,4
N29,4.3347,1.5439,N38,3.9902,2.5379,6
N32,0.1931,5.2535,N33,0.9347,6.4282,17
N32,0.1931,5.2535,N46,0.9766,6.1736,11
N33,0.9347,6.4282,N44,1.9923,6.355,18
N33,0.9347,6.4282,N46,0.9766,6.1736,14
N34,6.9655,0.5954,N40,6.8092,0.2615,12
N34,6.9655,0.5954,N43,6.4545,1.0215,11
N35,5.4986,6.8817,N41,4.98,6.869,5
N36,2.7767,6.7416,N44,1.9923,6.355,18
N36,2.7767,6.7416,N49,3.5795,6.4978,18
N38,3.9902,2.5379,N42,3.8721,3.7672,20
N38,3.9902,2.5379,N45,3.2269,2.5513,5
N38,3.9902,2.5379,N48,4.0057,3.8873,3
N39,2.8941,3.1148,N42,3.8721,3.7672,9
N39,2.8941,3.1148,N45,3.2269,2.5513,16
N39,2.8941,3.1148,N47,1.9476,3.7295,5
N39,2.8941,3.1148,N48,4.0057,3.8873,12
N42,3.8721,3.7672,N48,4.0057,3.8873,15
N44,1.9923,6.355,N46,0.9766,6.1736,11
